id;make;location;surveillance_task;ip;fps
1;Buckinghamshire;protocol Rapids;generate District Toys;Grass-roots Terrace zero administration;Rubber Virginia Balanced
2;override California Future-proofed;Fully-configurable British Indian Ocean Territory (Chagos Archipelago) Generic;Handcrafted Mandatory;Specialist;cultivate
3;Programmable Intelligent SCSI;invoice Web calculating;bluetooth HDD;online Bahraini Dinar;integrate
4;solid state payment monetize;Granite Soft;deposit Handcrafted;generate;Kip Shoes Unbranded Cotton Bacon
5;Tala;Rubber;Soft;evolve Infrastructure District;e-tailers mission-critical
6;Re-contextualized;compressing hacking Baby;Arkansas;payment payment;Dynamic
7;transmit backing up;COM cross-platform;clear-thinking connect;composite value-added;Metal alarm
8;Ethiopian Birr navigate;Village;Gorgeous Tuna;synthesizing mint green;Licensed Cotton Salad Chair
9;Wisconsin deposit;PNG;Customer Alaska grow;Games Garden Tasty;synthesize
10;mesh;integrate SAS;driver FTP Forward;methodologies Falls;Fish synthesizing SSL
